dimension,block,y_section_min,count
overworld,actuallyadditions:black_quartz_ore,-32,62
overworld,actuallyadditions:black_quartz_ore,-16,482
overworld,actuallyadditions:black_quartz_ore,0,520
overworld,actuallyadditions:black_quartz_ore,16,485
overworld,actuallyadditions:black_quartz_ore,32,493
overworld,actuallyadditions:black_quartz_ore,48,452
overworld,actuallyadditions:black_quartz_ore,64,150
overworld,chisel:limestone/raw,16,2083
overworld,chisel:limestone/raw,32,25996
overworld,chisel:limestone/raw,48,21031
overworld,chisel:limestone/raw,64,6417
overworld,chisel:limestone/raw,80,47
overworld,chisel:marble/raw,0,5826
overworld,chisel:marble/raw,16,52587
overworld,chisel:marble/raw,32,48503
overworld,chisel:marble/raw,48,39449
overworld,chisel:marble/raw,64,401
overworld,immersiveengineering:deepslate_ore_aluminum,-16,136
overworld,immersiveengineering:deepslate_ore_aluminum,0,403
overworld,immersiveengineering:deepslate_ore_uranium,-64,2115
overworld,immersiveengineering:deepslate_ore_uranium,-48,2460
overworld,immersiveengineering:deepslate_ore_uranium,-32,2506
overworld,immersiveengineering:deepslate_ore_uranium,-16,2165
overworld,immersiveengineering:deepslate_ore_uranium,0,730
overworld,immersiveengineering:ore_aluminum,0,1125
overworld,immersiveengineering:ore_aluminum,16,1521
overworld,immersiveengineering:ore_aluminum,32,1718
overworld,immersiveengineering:ore_aluminum,48,1401
overworld,immersiveengineering:ore_aluminum,64,486
overworld,immersiveengineering:ore_aluminum,80,51
overworld,immersiveengineering:ore_aluminum,96,3
overworld,immersiveengineering:ore_uranium,-48,5
overworld,immersiveengineering:ore_uranium,-32,26
overworld,immersiveengineering:ore_uranium,-16,21
overworld,immersiveengineering:ore_uranium,0,1845
overworld,immersiveengineering:ore_uranium,16,2320
overworld,immersiveengineering:ore_uranium,32,8
overworld,mekanism:deepslate_osmium_ore,-48,229
overworld,mekanism:deepslate_osmium_ore,-32,2487
overworld,mekanism:deepslate_osmium_ore,-16,2314
overworld,mekanism:deepslate_osmium_ore,0,731
overworld,mekanism:osmium_ore,-48,4
overworld,mekanism:osmium_ore,-32,30
overworld,mekanism:osmium_ore,-16,16
overworld,mekanism:osmium_ore,0,1719
overworld,mekanism:osmium_ore,16,2324
overworld,mekanism:osmium_ore,32,2439
overworld,mekanism:osmium_ore,48,1872
overworld,mekanism:osmium_ore,64,3
overworld,minecraft:andesite,-48,1218
overworld,minecraft:andesite,-32,8658
overworld,minecraft:andesite,-16,8367
overworld,minecraft:andesite,0,10055
overworld,minecraft:andesite,16,10644
overworld,minecraft:andesite,32,8282
overworld,minecraft:andesite,48,8489
overworld,minecraft:andesite,64,3206
overworld,minecraft:andesite,80,497
overworld,minecraft:basalt,-48,4312
overworld,minecraft:basalt,-32,37597
overworld,minecraft:basalt,-16,34417
overworld,minecraft:basalt,0,36583
overworld,minecraft:basalt,16,37458
overworld,minecraft:basalt,32,760
overworld,minecraft:coal_ore,-48,9
overworld,minecraft:coal_ore,-32,27
overworld,minecraft:coal_ore,-16,61
overworld,minecraft:coal_ore,0,9423
overworld,minecraft:coal_ore,16,12046
overworld,minecraft:coal_ore,32,12924
overworld,minecraft:coal_ore,48,10773
overworld,minecraft:coal_ore,64,3693
overworld,minecraft:coal_ore,80,566
overworld,minecraft:deepslate_coal_ore,-48,1178
overworld,minecraft:deepslate_coal_ore,-32,13106
overworld,minecraft:deepslate_coal_ore,-16,13138
overworld,minecraft:deepslate_coal_ore,0,3889
overworld,minecraft:deepslate_diamond_ore,-64,1970
overworld,minecraft:deepslate_diamond_ore,-48,2369
overworld,minecraft:deepslate_diamond_ore,-32,2345
overworld,minecraft:deepslate_diamond_ore,-16,2246
overworld,minecraft:deepslate_diamond_ore,0,678
overworld,minecraft:deepslate_emerald_ore,-32,88
overworld,minecraft:deepslate_emerald_ore,-16,975
overworld,minecraft:deepslate_emerald_ore,0,319
overworld,minecraft:deepslate_gold_ore,-64,2740
overworld,minecraft:deepslate_gold_ore,-48,3614
overworld,minecraft:deepslate_gold_ore,-32,3262
overworld,minecraft:deepslate_gold_ore,-16,3119
overworld,minecraft:deepslate_gold_ore,0,976
overworld,minecraft:deepslate_iron_ore,-64,2161
overworld,minecraft:deepslate_iron_ore,-48,13747
overworld,minecraft:deepslate_iron_ore,-32,12603
overworld,minecraft:deepslate_iron_ore,-16,10832
overworld,minecraft:deepslate_iron_ore,0,2858
overworld,minecraft:deepslate_lapis_ore,-48,187
overworld,minecraft:deepslate_lapis_ore,-32,1836
overworld,minecraft:deepslate_lapis_ore,-16,1850
overworld,minecraft:deepslate_lapis_ore,0,563
overworld,minecraft:deepslate_redstone_ore,-64,12265
overworld,minecraft:deepslate_redstone_ore,-48,13889
overworld,minecraft:deepslate_redstone_ore,-32,13628
overworld,minecraft:deepslate_redstone_ore,-16,13079
overworld,minecraft:deepslate_redstone_ore,0,3798
overworld,minecraft:diamond_ore,-48,1
overworld,minecraft:diamond_ore,-32,6
overworld,minecraft:diamond_ore,-16,4
overworld,minecraft:diamond_ore,0,1595
overworld,minecraft:diamond_ore,16,15
overworld,minecraft:diorite,-48,1044
overworld,minecraft:diorite,-32,9501
overworld,minecraft:diorite,-16,9624
overworld,minecraft:diorite,0,9371
overworld,minecraft:diorite,16,10610
overworld,minecraft:diorite,32,10358
overworld,minecraft:diorite,48,8850
overworld,minecraft:diorite,64,3009
overworld,minecraft:diorite,80,380
overworld,minecraft:dirt,-64,14377
overworld,minecraft:dirt,-48,18164
overworld,minecraft:dirt,-32,15111
overworld,minecraft:dirt,-16,19783
overworld,minecraft:dirt,0,21463
overworld,minecraft:dirt,16,16798
overworld,minecraft:dirt,32,15434
overworld,minecraft:dirt,48,231606
overworld,minecraft:dirt,64,233432
overworld,minecraft:dirt,80,67289
overworld,minecraft:dirt,96,3838
overworld,minecraft:emerald_ore,-32,3
overworld,minecraft:emerald_ore,-16,10
overworld,minecraft:emerald_ore,0,766
overworld,minecraft:emerald_ore,16,1022
overworld,minecraft:emerald_ore,32,896
overworld,minecraft:emerald_ore,48,811
overworld,minecraft:emerald_ore,64,326
overworld,minecraft:emerald_ore,80,59
overworld,minecraft:gold_ore,-48,1
overworld,minecraft:gold_ore,-32,30
overworld,minecraft:gold_ore,-16,14
overworld,minecraft:gold_ore,0,2373
overworld,minecraft:gold_ore,16,3321
overworld,minecraft:gold_ore,32,3599
overworld,minecraft:gold_ore,48,398
overworld,minecraft:gold_ore,64,291
overworld,minecraft:gold_ore,80,200
overworld,minecraft:gold_ore,96,10
overworld,minecraft:granite,-48,880
overworld,minecraft:granite,-32,10189
overworld,minecraft:granite,-16,7871
overworld,minecraft:granite,0,13146
overworld,minecraft:granite,16,18573
overworld,minecraft:granite,32,18315
overworld,minecraft:granite,48,8347
overworld,minecraft:granite,64,2866
overworld,minecraft:granite,80,476
overworld,minecraft:gravel,-64,19434
overworld,minecraft:gravel,-48,23468
overworld,minecraft:gravel,-32,25143
overworld,minecraft:gravel,-16,23977
overworld,minecraft:gravel,0,23693
overworld,minecraft:gravel,16,25646
overworld,minecraft:gravel,32,25010
overworld,minecraft:gravel,48,31177
overworld,minecraft:gravel,64,6208
overworld,minecraft:gravel,80,1025
overworld,minecraft:iron_ore,-48,9
overworld,minecraft:iron_ore,-32,89
overworld,minecraft:iron_ore,-16,68
overworld,minecraft:iron_ore,0,7312
overworld,minecraft:iron_ore,16,10225
overworld,minecraft:iron_ore,32,10097
overworld,minecraft:iron_ore,48,8138
overworld,minecraft:iron_ore,64,2635
overworld,minecraft:iron_ore,80,295
overworld,minecraft:lapis_ore,-32,15
overworld,minecraft:lapis_ore,-16,24
overworld,minecraft:lapis_ore,0,1438
overworld,minecraft:lapis_ore,16,1774
overworld,minecraft:lapis_ore,32,2008
overworld,minecraft:lapis_ore,48,1489
overworld,minecraft:lapis_ore,64,3
overworld,minecraft:redstone_ore,-48,4
overworld,minecraft:redstone_ore,-32,129
overworld,minecraft:redstone_ore,-16,121
overworld,minecraft:redstone_ore,0,9276
overworld,minecraft:redstone_ore,16,48
overworld,thermal:apatite_ore,0,977
overworld,thermal:apatite_ore,16,8081
overworld,thermal:apatite_ore,32,7829
overworld,thermal:apatite_ore,48,7646
overworld,thermal:apatite_ore,64,1313
overworld,thermal:apatite_ore,80,407
overworld,thermal:deepslate_lead_ore,-64,215
overworld,thermal:deepslate_lead_ore,-48,2470
overworld,thermal:deepslate_lead_ore,-32,2125
overworld,thermal:deepslate_lead_ore,-16,2256
overworld,thermal:deepslate_lead_ore,0,683
overworld,thermal:deepslate_nickel_ore,-64,1067
overworld,thermal:deepslate_nickel_ore,-48,1273
overworld,thermal:deepslate_nickel_ore,-32,1223
overworld,thermal:deepslate_nickel_ore,-16,1140
overworld,thermal:deepslate_nickel_ore,0,338
overworld,thermal:deepslate_silver_ore,-64,276
overworld,thermal:deepslate_silver_ore,-48,2967
overworld,thermal:deepslate_silver_ore,-32,2877
overworld,thermal:deepslate_silver_ore,-16,2842
overworld,thermal:deepslate_silver_ore,0,864
overworld,thermal:deepslate_tin_ore,-48,315
overworld,thermal:deepslate_tin_ore,-32,4015
overworld,thermal:deepslate_tin_ore,-16,3953
overworld,thermal:deepslate_tin_ore,0,1200
overworld,thermal:lead_ore,-48,6
overworld,thermal:lead_ore,-32,12
overworld,thermal:lead_ore,-16,22
overworld,thermal:lead_ore,0,1707
overworld,thermal:lead_ore,16,2284
overworld,thermal:lead_ore,32,8
overworld,thermal:nickel_ore,-32,9
overworld,thermal:nickel_ore,-16,15
overworld,thermal:nickel_ore,0,868
overworld,thermal:nickel_ore,16,1052
overworld,thermal:nickel_ore,32,4
overworld,thermal:oil_sand,32,9
overworld,thermal:oil_sand,48,395
overworld,thermal:silver_ore,-48,6
overworld,thermal:silver_ore,-32,33
overworld,thermal:silver_ore,-16,24
overworld,thermal:silver_ore,0,1925
overworld,thermal:silver_ore,16,2937
overworld,thermal:silver_ore,32,2818
overworld,thermal:silver_ore,48,12
overworld,thermal:tin_ore,-48,2
overworld,thermal:tin_ore,-32,62
overworld,thermal:tin_ore,-16,23
overworld,thermal:tin_ore,0,2814
overworld,thermal:tin_ore,16,3983
overworld,thermal:tin_ore,32,4074
overworld,thermal:tin_ore,48,3256
overworld,thermal:tin_ore,64,1082
overworld,thermal:tin_ore,80,194
