dimension,block,y_section_min,count
overworld,actuallyadditions:black_quartz_ore,16,1466
overworld,actuallyadditions:black_quartz_ore,32,1390
overworld,actuallyadditions:black_quartz_ore,48,536
overworld,chisel:limestone/raw,32,72402
overworld,chisel:limestone/raw,48,58327
overworld,chisel:marble/raw,16,197274
overworld,chisel:marble/raw,32,146442
overworld,immersiveengineering:deepslate_ore_uranium,-16,39
overworld,immersiveengineering:deepslate_ore_uranium,0,2904
overworld,immersiveengineering:ore_aluminum,32,5203
overworld,immersiveengineering:ore_aluminum,48,6307
overworld,immersiveengineering:ore_uranium,-16,2
overworld,immersiveengineering:ore_uranium,0,8472
overworld,immersiveengineering:ore_uranium,16,5167
overworld,mekanism:osmium_ore,0,47
overworld,mekanism:osmium_ore,16,9439
overworld,mekanism:osmium_ore,32,5514
overworld,minecraft:andesite,-16,1683
overworld,minecraft:andesite,0,13630
overworld,minecraft:andesite,16,11428
overworld,minecraft:andesite,32,12081
overworld,minecraft:andesite,48,13227
overworld,minecraft:andesite,64,13275
overworld,minecraft:andesite,80,1713
overworld,minecraft:andesite,96,3802
overworld,minecraft:andesite,112,5357
overworld,minecraft:andesite,128,444
overworld,minecraft:basalt,-16,3293
overworld,minecraft:basalt,0,195370
overworld,minecraft:basalt,16,82206
overworld,minecraft:coal_ore,0,236
overworld,minecraft:coal_ore,16,29298
overworld,minecraft:coal_ore,32,26810
overworld,minecraft:coal_ore,48,28283
overworld,minecraft:coal_ore,64,25893
overworld,minecraft:coal_ore,80,22203
overworld,minecraft:coal_ore,96,14880
overworld,minecraft:coal_ore,112,7764
overworld,minecraft:coal_ore,128,35
overworld,minecraft:deepslate_diamond_ore,0,2973
overworld,minecraft:deepslate_emerald_ore,0,1505
overworld,minecraft:deepslate_iron_ore,-64,676
overworld,minecraft:deepslate_iron_ore,-48,1598
overworld,minecraft:deepslate_iron_ore,-32,2046
overworld,minecraft:deepslate_iron_ore,-16,1171
overworld,minecraft:deepslate_iron_ore,0,2454
overworld,minecraft:deepslate_lapis_ore,0,119
overworld,minecraft:deepslate_redstone_ore,0,6220
overworld,minecraft:diamond_ore,0,10524
overworld,minecraft:diamond_ore,16,68
overworld,minecraft:diorite,-16,1594
overworld,minecraft:diorite,0,13199
overworld,minecraft:diorite,16,11930
overworld,minecraft:diorite,32,13565
overworld,minecraft:diorite,48,13678
overworld,minecraft:diorite,64,10512
overworld,minecraft:diorite,80,87
overworld,minecraft:dirt,-64,3
overworld,minecraft:dirt,-16,2200
overworld,minecraft:dirt,0,18495
overworld,minecraft:dirt,16,19445
overworld,minecraft:dirt,32,17230
overworld,minecraft:dirt,48,38344
overworld,minecraft:dirt,64,45821
overworld,minecraft:dirt,80,126534
overworld,minecraft:dirt,96,101900
overworld,minecraft:dirt,112,74686
overworld,minecraft:dirt,128,50891
overworld,minecraft:dirt,144,5682
overworld,minecraft:emerald_ore,0,5850
overworld,minecraft:emerald_ore,16,3790
overworld,minecraft:gold_ore,0,6897
overworld,minecraft:gold_ore,16,18109
overworld,minecraft:gold_ore,32,98
overworld,minecraft:granite,-16,1671
overworld,minecraft:granite,0,15708
overworld,minecraft:granite,16,18393
overworld,minecraft:granite,32,13407
overworld,minecraft:granite,48,11475
overworld,minecraft:granite,64,11022
overworld,minecraft:granite,80,153
overworld,minecraft:gravel,-16,3400
overworld,minecraft:gravel,0,30228
overworld,minecraft:gravel,16,29071
overworld,minecraft:gravel,32,30467
overworld,minecraft:gravel,48,32036
overworld,minecraft:gravel,64,25472
overworld,minecraft:gravel,80,23522
overworld,minecraft:gravel,96,19576
overworld,minecraft:gravel,112,19449
overworld,minecraft:gravel,128,3713
overworld,minecraft:gravel,144,736
overworld,minecraft:gravel,160,142
overworld,minecraft:iron_ore,0,17228
overworld,minecraft:iron_ore,16,23132
overworld,minecraft:iron_ore,32,22602
overworld,minecraft:iron_ore,48,20951
overworld,minecraft:iron_ore,64,137
overworld,minecraft:lapis_ore,0,4797
overworld,minecraft:lapis_ore,16,7470
overworld,minecraft:lapis_ore,32,18
overworld,minecraft:redstone_ore,0,32441
overworld,minecraft:redstone_ore,16,26057
overworld,thermal:apatite_ore,32,6848
overworld,thermal:apatite_ore,48,11558
overworld,thermal:apatite_ore,64,10467
overworld,thermal:apatite_ore,80,9936
overworld,thermal:apatite_ore,96,5744
overworld,thermal:apatite_ore,112,3078
overworld,thermal:apatite_ore,128,1
overworld,thermal:deepslate_lead_ore,-16,26
overworld,thermal:deepslate_lead_ore,0,1328
overworld,thermal:deepslate_nickel_ore,0,425
overworld,thermal:lead_ore,0,3623
overworld,thermal:lead_ore,16,4595
overworld,thermal:lead_ore,32,646
overworld,thermal:nickel_ore,0,3104
overworld,thermal:nickel_ore,16,3959
overworld,thermal:nickel_ore,32,18
overworld,thermal:silver_ore,0,1662
overworld,thermal:silver_ore,16,10743
overworld,thermal:silver_ore,32,4859
overworld,thermal:tin_ore,16,11989
overworld,thermal:tin_ore,32,14187
overworld,thermal:tin_ore,48,5601
