dimension,block,y_section_min,count
overworld,actuallyadditions:black_quartz_ore,-32,57
overworld,actuallyadditions:black_quartz_ore,-16,499
overworld,actuallyadditions:black_quartz_ore,0,515
overworld,actuallyadditions:black_quartz_ore,16,501
overworld,actuallyadditions:black_quartz_ore,32,484
overworld,actuallyadditions:black_quartz_ore,48,189
overworld,actuallyadditions:black_quartz_ore,64,41
overworld,chisel:limestone/raw,16,2907
overworld,chisel:limestone/raw,32,22208
overworld,chisel:limestone/raw,48,9073
overworld,chisel:limestone/raw,64,2025
overworld,chisel:marble/raw,0,4655
overworld,chisel:marble/raw,16,45875
overworld,chisel:marble/raw,32,44121
overworld,chisel:marble/raw,48,18831
overworld,chisel:marble/raw,64,146
overworld,draconicevolution:deepslate_draconium_ore,-64,352
overworld,draconicevolution:deepslate_draconium_ore,-48,1
overworld,immersiveengineering:deepslate_ore_aluminum,-16,181
overworld,immersiveengineering:deepslate_ore_aluminum,0,451
overworld,immersiveengineering:deepslate_ore_uranium,-64,2351
overworld,immersiveengineering:deepslate_ore_uranium,-48,2695
overworld,immersiveengineering:deepslate_ore_uranium,-32,2516
overworld,immersiveengineering:deepslate_ore_uranium,-16,2238
overworld,immersiveengineering:deepslate_ore_uranium,0,638
overworld,immersiveengineering:ore_aluminum,0,1108
overworld,immersiveengineering:ore_aluminum,16,1591
overworld,immersiveengineering:ore_aluminum,32,1510
overworld,immersiveengineering:ore_aluminum,48,731
overworld,immersiveengineering:ore_aluminum,64,97
overworld,immersiveengineering:ore_uranium,-32,24
overworld,immersiveengineering:ore_uranium,-16,27
overworld,immersiveengineering:ore_uranium,0,1707
overworld,immersiveengineering:ore_uranium,16,2188
overworld,immersiveengineering:ore_uranium,32,3
overworld,mekanism:deepslate_osmium_ore,-48,218
overworld,mekanism:deepslate_osmium_ore,-32,2407
overworld,mekanism:deepslate_osmium_ore,-16,2446
overworld,mekanism:deepslate_osmium_ore,0,641
overworld,mekanism:osmium_ore,-48,2
overworld,mekanism:osmium_ore,-32,16
overworld,mekanism:osmium_ore,-16,12
overworld,mekanism:osmium_ore,0,1668
overworld,mekanism:osmium_ore,16,2309
overworld,mekanism:osmium_ore,32,2072
