dimension,block,y_section_min,count
overworld,actuallyadditions:black_quartz_ore,-32,47
overworld,actuallyadditions:black_quartz_ore,-16,509
overworld,actuallyadditions:black_quartz_ore,0,512
overworld,actuallyadditions:black_quartz_ore,16,512
overworld,actuallyadditions:black_quartz_ore,32,477
overworld,actuallyadditions:black_quartz_ore,48,128
overworld,actuallyadditions:black_quartz_ore,64,85
overworld,chisel:limestone/raw,16,2876
overworld,chisel:limestone/raw,32,21504
overworld,chisel:limestone/raw,48,6343
overworld,chisel:limestone/raw,64,4122
overworld,chisel:limestone/raw,80,11
overworld,chisel:marble/raw,0,4507
overworld,chisel:marble/raw,16,51559
overworld,chisel:marble/raw,32,43262
overworld,chisel:marble/raw,48,12712
overworld,chisel:marble/raw,64,106
overworld,immersiveengineering:deepslate_ore_aluminum,-16,143
overworld,immersiveengineering:deepslate_ore_aluminum,0,510
overworld,immersiveengineering:deepslate_ore_uranium,-64,2177
overworld,immersiveengineering:deepslate_ore_uranium,-48,2441
overworld,immersiveengineering:deepslate_ore_uranium,-32,2333
overworld,immersiveengineering:deepslate_ore_uranium,-16,2330
overworld,immersiveengineering:deepslate_ore_uranium,0,684
overworld,immersiveengineering:ore_aluminum,-16,6
overworld,immersiveengineering:ore_aluminum,0,1146
overworld,immersiveengineering:ore_aluminum,16,1622
overworld,immersiveengineering:ore_aluminum,32,1355
overworld,immersiveengineering:ore_aluminum,48,439
overworld,immersiveengineering:ore_aluminum,64,317
overworld,immersiveengineering:ore_aluminum,80,259
overworld,immersiveengineering:ore_aluminum,96,140
overworld,immersiveengineering:ore_aluminum,112,1
overworld,immersiveengineering:ore_uranium,-32,19
overworld,immersiveengineering:ore_uranium,-16,19
overworld,immersiveengineering:ore_uranium,0,1771
overworld,immersiveengineering:ore_uranium,16,2273
overworld,immersiveengineering:ore_uranium,32,6
overworld,mekanism:deepslate_osmium_ore,-48,274
overworld,mekanism:deepslate_osmium_ore,-32,2161
overworld,mekanism:deepslate_osmium_ore,-16,2505
overworld,mekanism:deepslate_osmium_ore,0,678
overworld,mekanism:osmium_ore,-32,18
overworld,mekanism:osmium_ore,-16,13
overworld,mekanism:osmium_ore,0,1840
overworld,mekanism:osmium_ore,16,2422
overworld,mekanism:osmium_ore,32,2159
